Wiek;Płeć;Okres;Miesiąc;Rok;Bezrobotni
Od 16 Do 19 Lat;Mężczyźni;01.01.2005;sty;2005;91000
Od 20 Do 24 Lat;Mężczyźni;02.01.2005;sty;2005;175000
Od 25 Do 34 Lat;Mężczyźni;03.01.2005;sty;2005;194000
Od 35 Do 44 Lat;Mężczyźni;04.01.2005;sty;2005;201000
Od 45 Do 54 Lat;Mężczyźni;05.01.2005;sty;2005;207000
Od 55 Do 64 Lat;Mężczyźni;06.01.2005;sty;2005;101000
Od 65 Lat Wzwyż;Mężczyźni;07.01.2005;sty;2005;33000
Od 16 Do 19 Lat;Kobiety;08.01.2005;sty;2005;38000
Od 20 Do 24 Lat;Kobiety;09.01.2005;sty;2005;90000
Od 25 Do 34 Lat;Kobiety;10.01.2005;sty;2005;142000
Od 35 Do 44 Lat;Kobiety;11.01.2005;sty;2005;180000
Od 45 Do 54 Lat;Kobiety;12.01.2005;sty;2005;157000
Od 55 Do 64 Lat;Kobiety;13.01.2005;sty;2005;71000
Od 65 Lat Wzwyż;Kobiety;14.01.2005;sty;2005;82000
Od 16 Do 19 Lat;Mężczyźni;15.01.2005;sty;2005;90000
Od 20 Do 24 Lat;Mężczyźni;16.01.2005;sty;2005;154000
Od 25 Do 34 Lat;Mężczyźni;17.01.2005;sty;2005;176000
Od 35 Do 44 Lat;Mężczyźni;18.01.2005;sty;2005;184000
Od 45 Do 54 Lat;Mężczyźni;19.01.2005;sty;2005;186000
Od 55 Do 64 Lat;Mężczyźni;20.01.2005;sty;2005;98000
Od 65 Lat Wzwyż;Mężczyźni;21.01.2005;sty;2005;38000
Od 16 Do 19 Lat;Kobiety;22.01.2005;sty;2005;54000
Od 20 Do 24 Lat;Kobiety;23.01.2005;sty;2005;114000
Od 25 Do 34 Lat;Kobiety;24.01.2005;sty;2005;119000
Od 35 Do 44 Lat;Kobiety;25.01.2005;sty;2005;170000
Od 45 Do 54 Lat;Kobiety;26.01.2005;sty;2005;173000
Od 55 Do 64 Lat;Kobiety;27.01.2005;sty;2005;94000
Od 65 Lat Wzwyż;Kobiety;28.01.2005;sty;2005;85000
Od 16 Do 19 Lat;Mężczyźni;29.01.2005;sty;2005;114000
Od 20 Do 24 Lat;Mężczyźni;30.01.2005;sty;2005;137000
Od 25 Do 34 Lat;Mężczyźni;31.01.2005;sty;2005;195000
Od 35 Do 44 Lat;Mężczyźni;01.02.2005;lut;2005;211000
Od 45 Do 54 Lat;Mężczyźni;02.02.2005;lut;2005;223000
Od 55 Do 64 Lat;Mężczyźni;03.02.2005;lut;2005;115000
Od 65 Lat Wzwyż;Mężczyźni;04.02.2005;lut;2005;32000
Od 16 Do 19 Lat;Kobiety;05.02.2005;lut;2005;53000
Od 20 Do 24 Lat;Kobiety;06.02.2005;lut;2005;113000
Od 25 Do 34 Lat;Kobiety;07.02.2005;lut;2005;102000
Od 35 Do 44 Lat;Kobiety;08.02.2005;lut;2005;141000
Od 45 Do 54 Lat;Kobiety;09.02.2005;lut;2005;152000
Od 55 Do 64 Lat;Kobiety;10.02.2005;lut;2005;101000
Od 65 Lat Wzwyż;Kobiety;11.02.2005;lut;2005;72000
Od 16 Do 19 Lat;Mężczyźni;12.02.2005;lut;2005;86000
Od 20 Do 24 Lat;Mężczyźni;13.02.2005;lut;2005;125000
Od 25 Do 34 Lat;Mężczyźni;14.02.2005;lut;2005;191000
Od 35 Do 44 Lat;Mężczyźni;15.02.2005;lut;2005;206000
Od 45 Do 54 Lat;Mężczyźni;16.02.2005;lut;2005;181000
Od 55 Do 64 Lat;Mężczyźni;17.02.2005;lut;2005;93000
Od 65 Lat Wzwyż;Mężczyźni;18.02.2005;lut;2005;31000
Od 16 Do 19 Lat;Kobiety;19.02.2005;lut;2005;53000
Od 20 Do 24 Lat;Kobiety;20.02.2005;lut;2005;114000
Od 25 Do 34 Lat;Kobiety;21.02.2005;lut;2005;151000
Od 35 Do 44 Lat;Kobiety;22.02.2005;lut;2005;172000
Od 45 Do 54 Lat;Kobiety;23.02.2005;lut;2005;160000
Od 55 Do 64 Lat;Kobiety;24.02.2005;lut;2005;90000
Od 65 Lat Wzwyż;Kobiety;25.02.2005;lut;2005;80000
Od 16 Do 19 Lat;Mężczyźni;26.02.2005;lut;2005;87000
Od 20 Do 24 Lat;Mężczyźni;27.02.2005;lut;2005;106000
Od 25 Do 34 Lat;Mężczyźni;28.02.2005;lut;2005;183000
Od 35 Do 44 Lat;Mężczyźni;01.03.2005;mar;2005;173000
Od 45 Do 54 Lat;Mężczyźni;02.03.2005;mar;2005;159000
Od 55 Do 64 Lat;Mężczyźni;03.03.2005;mar;2005;87000
Od 65 Lat Wzwyż;Mężczyźni;04.03.2005;mar;2005;22000
Od 16 Do 19 Lat;Kobiety;05.03.2005;mar;2005;44000
Od 20 Do 24 Lat;Kobiety;06.03.2005;mar;2005;99000
Od 25 Do 34 Lat;Kobiety;07.03.2005;mar;2005;149000
